2026-07-28 20:45:58.370 | WARNING  | node_item_name_recognition.py:step_1_get_inputs:119  - state中无有效file_title，已从第一个切片中提取兜底标题
2026-07-28 20:45:59.116 | INFO     | node_item_name_recognition.py:step_1_get_inputs:130  - 步骤1：输入校验完成，获取到6个有效文本切片
2026-07-28 20:45:59.130 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度586字符
2026-07-28 20:45:59.143 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 20:45:59.160 | INFO     | llm_client.py       :get_llm_client :45   - [LLM客户端] 开始初始化新实例：模型=qwen3.7-plus，JSON模式=False
2026-07-28 20:46:04.226 | INFO     | llm_client.py       :get_llm_client :72   - [LLM客户端] 实例初始化成功并缓存：模型=qwen3.7-plus，JSON模式=False
2026-07-28 20:46:06.149 | INFO     | node_item_name_recognition.py:step_3_call_llm:252  - 步骤3：大模型识别商品名称成功，结果为：兄弟HAK180烫金机
2026-07-28 20:46:35.688 | INFO     | embedding_utils.py  :generate_embedding:66   - 开始为1条文本生成混合向量嵌入
2026-07-28 20:46:36.420 | INFO     | embedding_utils.py  :get_bge_m3_ef  :29   - 开始初始化BGE-M3模型
2026-07-28 20:46:36.894 | ERROR    | embedding_utils.py  :get_bge_m3_ef  :50   - BGE-M3模型初始化失败：Could not import module 'TrainingArguments'. Are this object's requirements defined correctly?
2026-07-28 20:46:36.920 | ERROR    | embedding_utils.py  :generate_embedding:117  - 文本向量生成失败：Could not import module 'TrainingArguments'. Are this object's requirements defined correctly?
2026-07-28 20:47:41.139 | INFO     | node_item_name_recognition.py:step_1_get_inputs:130  - 步骤1：输入校验完成，获取到6个有效文本切片
2026-07-28 20:47:41.872 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度586字符
2026-07-28 20:47:41.886 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 20:47:41.901 | INFO     | llm_client.py       :get_llm_client :45   - [LLM客户端] 开始初始化新实例：模型=qwen3.7-plus，JSON模式=False
2026-07-28 20:47:44.548 | INFO     | llm_client.py       :get_llm_client :72   - [LLM客户端] 实例初始化成功并缓存：模型=qwen3.7-plus，JSON模式=False
2026-07-28 20:47:46.232 | INFO     | node_item_name_recognition.py:step_3_call_llm:252  - 步骤3：大模型识别商品名称成功，结果为：BrotherHAK180烫金机
2026-07-28 20:47:46.251 | INFO     | node_item_name_recognition.py:step_4_update_chunks:281  - 步骤4：商品名称回填完成，共为6个切片添加item_name字段，值为：BrotherHAK180烫金机
2026-07-28 20:47:46.266 | INFO     | node_item_name_recognition.py:step_5_generate_vectors:296  - 开始执行步骤5：为商品名称[BrotherHAK180烫金机]生成BGE-M3双向量
2026-07-28 20:47:46.281 | INFO     | embedding_utils.py  :generate_embedding:66   - 开始为1条文本生成混合向量嵌入
2026-07-28 20:47:46.301 | INFO     | embedding_utils.py  :get_bge_m3_ef  :29   - 开始初始化BGE-M3模型
2026-07-28 20:47:46.685 | ERROR    | embedding_utils.py  :get_bge_m3_ef  :50   - BGE-M3模型初始化失败：Could not import module 'TrainingArguments'. Are this object's requirements defined correctly?
2026-07-28 20:47:46.713 | ERROR    | embedding_utils.py  :generate_embedding:117  - 文本向量生成失败：Could not import module 'TrainingArguments'. Are this object's requirements defined correctly?
2026-07-28 20:47:46.728 | ERROR    | node_item_name_recognition.py:step_5_generate_vectors:319  - 步骤5：向量生成失败，原因：Could not import module 'TrainingArguments'. Are this object's requirements defined correctly?
2026-07-28 20:47:46.744 | INFO     | node_item_name_recognition.py:step_6_save_to_milvus:350  - 开始执行步骤6：将商品名称[BrotherHAK180烫金机]保存到Milvus集合[kb_item_names]
2026-07-28 20:47:46.763 | ERROR    | milvus_client.py    :get_milvus_client:30   - Milvus客户端连接异常：'MilvusConfig' object has no attribute 'milvus_pass'
2026-07-28 20:47:46.787 | ERROR    | node_item_name_recognition.py:step_6_save_to_milvus:356  - 无法获取Milvus客户端（连接失败），跳过数据保存
2026-07-28 20:47:46.811 | INFO     | node_item_name_recognition.py:process        :84   - >>> 核心节点执行完成：【商品名称识别】node_item_name_recognition，识别结果：BrotherHAK180烫金机，已存入Milvus
2026-07-28 21:04:42.507 | WARNING  | node_item_name_recognition.py:step_1_get_inputs:119  - state中无有效file_title，已从第一个切片中提取兜底标题
2026-07-28 21:04:43.084 | INFO     | node_item_name_recognition.py:step_1_get_inputs:130  - 步骤1：输入校验完成，获取到6个有效文本切片
2026-07-28 21:04:43.103 | WARNING  | node_item_name_recognition.py:step_1_get_inputs:127  - state中chunks为空或非列表类型，无法进行商品名称识别
2026-07-28 21:04:43.123 | INFO     | node_item_name_recognition.py:step_2_build_context:186  - 上下文总字符数即将超限（2500），已停止拼接后续切片
2026-07-28 21:04:43.140 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度2500字符
2026-07-28 21:04:43.156 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度58字符
2026-07-28 21:04:43.179 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 21:04:43.198 | INFO     | node_item_name_recognition.py:step_3_call_llm:252  - 步骤3：大模型识别商品名称成功，结果为：HAK180烫金机
2026-07-28 21:04:43.216 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 21:04:43.237 | WARNING  | node_item_name_recognition.py:step_3_call_llm:249  - 大模型返回空内容，使用文件标题作为商品名称兜底
2026-07-28 21:04:43.259 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 21:04:43.279 | ERROR    | node_item_name_recognition.py:step_3_call_llm:256  - 步骤3：大模型调用失败，原因：LLM unavailable
2026-07-28 21:04:43.297 | INFO     | node_item_name_recognition.py:step_3_call_llm:214  - 开始执行步骤3：调用大模型识别商品名称
2026-07-28 21:04:43.324 | WARNING  | node_item_name_recognition.py:step_3_call_llm:218  - 上下文为空，跳过大模型调用，直接使用文件标题作为商品名称
2026-07-28 21:04:43.350 | INFO     | node_item_name_recognition.py:step_4_update_chunks:281  - 步骤4：商品名称回填完成，共为6个切片添加item_name字段，值为：HAK180烫金机
2026-07-28 21:04:43.382 | INFO     | node_item_name_recognition.py:step_5_generate_vectors:296  - 开始执行步骤5：为商品名称[HAK180烫金机]生成BGE-M3双向量
2026-07-28 21:04:43.407 | INFO     | node_item_name_recognition.py:step_5_generate_vectors:313  - 步骤5：BGE-M3稠密+稀疏向量生成成功
2026-07-28 21:04:43.433 | INFO     | node_item_name_recognition.py:step_5_generate_vectors:296  - 开始执行步骤5：为商品名称[]生成BGE-M3双向量
2026-07-28 21:04:43.456 | WARNING  | node_item_name_recognition.py:step_5_generate_vectors:300  - 商品名称为空，跳过向量生成，返回空向量
2026-07-28 21:04:43.481 | INFO     | node_item_name_recognition.py:step_6_save_to_milvus:350  - 开始执行步骤6：将商品名称[HAK180烫金机]保存到Milvus集合[item_names]
2026-07-28 21:04:43.503 | INFO     | node_item_name_recognition.py:step_6_save_to_milvus:436  - Milvus幂等性处理完成，已删除集合中[HAK180烫金机]的历史数据
2026-07-28 21:04:43.527 | INFO     | node_item_name_recognition.py:step_6_save_to_milvus:454  - 步骤6：商品名称[HAK180烫金机]成功存入Milvus集合[item_names]，数据：['file_title', 'item_name', 'dense_vector', 'sparse_vector']
2026-07-28 21:04:43.594 | INFO     | node_item_name_recognition.py:step_1_get_inputs:130  - 步骤1：输入校验完成，获取到6个有效文本切片
2026-07-28 21:04:43.616 | INFO     | node_item_name_recognition.py:step_2_build_context:186  - 上下文总字符数即将超限（2500），已停止拼接后续切片
2026-07-28 21:04:43.641 | INFO     | node_item_name_recognition.py:step_2_build_context:193  - 步骤2：上下文构建完成，最终长度2500字符
2026-07-28 21:04:43.664 | INFO     | node_item_name_recognition.py:step_4_update_chunks:281  - 步骤4：商品名称回填完成，共为6个切片添加item_name字段，值为：HAK180烫金机
